correct 	2.6secs 	What is 11 * 2? 	== 	22 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 18:49:24 GMT-0600 (Central Standard Time)
correct 	18.2secs 	What is 3 * 6? 	== 	18 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:35:02 GMT-0600 (Central Standard Time)
correct 	7.6secs 	What is 9 - 0? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:35:11 GMT-0600 (Central Standard Time)
correct 	8.1secs 	What is 7 * 11? 	== 	77 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:35:32 GMT-0600 (Central Standard Time)
correct 	6.1secs 	What is 12 * -11? 	== 	-132 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:35:50 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 1 * 5? 	== 	5 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:36:07 GMT-0600 (Central Standard Time)
correct 	5.2secs 	What is 1 * 4? 	== 	4 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:36:29 GMT-0600 (Central Standard Time)
correct 	5.8secs 	What is 5 - 4? 	== 	1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:36:49 GMT-0600 (Central Standard Time)
correct 	0.3secs 	What is 1 + 8? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:37:04 GMT-0600 (Central Standard Time)
correct 	11.0secs 	What is 90 / 10? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:37:35 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 0 + 9? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:37:47 GMT-0600 (Central Standard Time)
correct 	6.1secs 	What is 2 * 4? 	== 	8 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:38:10 GMT-0600 (Central Standard Time)
correct 	35.8secs 	What is -2 + 7? 	== 	5 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:39:00 GMT-0600 (Central Standard Time)
correct 	12.0secs 	What is 3 * 3? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:39:16 GMT-0600 (Central Standard Time)
wrong 	9.0secs 	What is 0 - 1? 	!= 	1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:39:33 GMT-0600 (Central Standard Time)
correct 	8.5secs 	What is 0 - -1? 	== 	1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:39:52 GMT-0600 (Central Standard Time)
correct 	2.3secs 	What is 0 - 0? 	== 	0 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:40:06 GMT-0600 (Central Standard Time)
correct 	17.1secs 	What is 0 - 1? 	== 	-1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:40:41 GMT-0600 (Central Standard Time)
correct 	7.0secs 	What is 3 * 2? 	== 	6 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:40:51 GMT-0600 (Central Standard Time)
correct 	11.6secs 	What is -16 / -8? 	== 	2 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:41:15 GMT-0600 (Central Standard Time)
correct 	4.4secs 	What is 20 / 2? 	== 	10 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:41:28 GMT-0600 (Central Standard Time)
correct 	17.1secs 	What is 5 - 10? 	== 	-5 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:42:01 GMT-0600 (Central Standard Time)
correct 	4.8secs 	What is 2 * 4? 	== 	8 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:42:09 GMT-0600 (Central Standard Time)
wrong 	0.3secs 	What is 5 + 4? 	!= 	7 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:42:24 GMT-0600 (Central Standard Time)
correct 	14.2secs 	What is 5 + 2? 	== 	7 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:42:58 GMT-0600 (Central Standard Time)
correct 	13.7secs 	What is 5 + 3? 	== 	8 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:43:18 GMT-0600 (Central Standard Time)
correct 	15.7secs 	What is 5 + 4? 	== 	9 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:43:40 GMT-0600 (Central Standard Time)
correct 	4.0secs 	What is 3 * 2? 	== 	6 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:43:48 GMT-0600 (Central Standard Time)
correct 	2.7secs 	What is 11 * 12? 	== 	132 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:44:07 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 0 * 8? 	== 	0 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:44:26 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is 5 + 11? 	== 	16 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:44:48 GMT-0600 (Central Standard Time)
correct 	6.5secs 	What is 3 * 4? 	== 	12 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:45:10 GMT-0600 (Central Standard Time)
correct 	10.5secs 	What is -7 * 0? 	== 	0 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:45:35 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 6 * 1? 	== 	6 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:45:49 GMT-0600 (Central Standard Time)
correct 	53.5secs 	What is 6 + 8? 	== 	14 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:46:57 GMT-0600 (Central Standard Time)
correct 	35.7secs 	What is 7 / 1? 	== 	7 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:47:40 GMT-0600 (Central Standard Time)
correct 	6.3secs 	What is 2 - 1? 	== 	1 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:47:50 GMT-0600 (Central Standard Time)
correct 	9.7secs 	What is 0 * 2? 	== 	0 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:48:14 GMT-0600 (Central Standard Time)
correct 	6.5secs 	What is 10 * 8? 	== 	80 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:48:31 GMT-0600 (Central Standard Time)
correct 	11.3secs 	What is 5 * 8? 	== 	40 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:48:55 GMT-0600 (Central Standard Time)
correct 	19.2secs 	What is 2 * 1? 	== 	2 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:49:23 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 12 * 8? 	== 	96 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:49:27 GMT-0600 (Central Standard Time)
correct 	6.3secs 	What is 0 * 3? 	== 	0 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:49:50 GMT-0600 (Central Standard Time)
correct 	19.3secs 	What is 10 * 1? 	== 	10 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:50:24 GMT-0600 (Central Standard Time)
correct 	8.3secs 	What is -12 * 0? 	== 	0 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:50:33 GMT-0600 (Central Standard Time)
correct 	4.8secs 	What is 8 * 1? 	== 	8 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:50:49 GMT-0600 (Central Standard Time)
correct 	3.0secs 	What is 4 * 1? 	== 	4 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:51:07 GMT-0600 (Central Standard Time)
correct 	4.7secs 	What is 10 * 9? 	== 	90 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:52:13 GMT-0600 (Central Standard Time)
correct 	7.9secs 	What is 9 * 9? 	== 	81 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:52:37 GMT-0600 (Central Standard Time)
correct 	9.0secs 	What is 4 * 1? 	== 	4 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:52:58 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is 0 + 2? 	== 	2 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:53:12 GMT-0600 (Central Standard Time)
correct 	10.1secs 	What is 0 + 1? 	== 	1 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:53:50 GMT-0600 (Central Standard Time)
correct 	5.2secs 	What is 11 * 12? 	== 	132 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:59:30 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 12 * 12? 	== 	144 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:59:46 GMT-0600 (Central Standard Time)
correct 	21.2secs 	What is 3 + 3? 	== 	6 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 10:00:26 GMT-0600 (Central Standard Time)
correct 	6.6secs 	What is 0 + 9? 	== 	9 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 10:00:51 GMT-0600 (Central Standard Time)
correct 	35.8secs 	What is 9 * 11? 	== 	99 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 10:02:00 GMT-0600 (Central Standard Time)
correct 	9.2secs 	What is 1 + 10? 	== 	11 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 10:02:14 GMT-0600 (Central Standard Time)
correct 	4.7secs 	What is 3 + 4? 	== 	7 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 10:03:29 GMT-0600 (Central Standard Time)
correct 	27.2secs 	What is 7 * 12? 	== 	84 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 10:04:12 GMT-0600 (Central Standard Time)
correct 	9.1secs 	What is 4 + 7? 	== 	11 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 10:04:34 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 10 * 10? 	== 	100 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 10:04:48 GMT-0600 (Central Standard Time)
correct 	math 	3.0secs 	7 * 1 	What is 7 * 1? 	== 	7 	RunAve=runAve: 1/1 100% 3.0secs 	Tue Jan 12 2021 16:04:08 GMT-0600 (Central Standard Time)
correct 	math 	16.5secs 	-12 * 9 	What is -12 * 9? 	== 	-108 	RunAve=runAve: 2/2 100% 9.8secs 	Tue Jan 12 2021 16:04:41 GMT-0600 (Central Standard Time)
correct 	math 	6.1secs 	2 + 5 	What is 2 + 5? 	== 	7 	RunAve=runAve: 3/3 100% 8.6secs 	Tue Jan 12 2021 16:04:51 GMT-0600 (Central Standard Time)
wrong 	spelling 	28.3secs 	prance 	pr____ 	!= 	__once 	RunAve=runAve: 3/4 75% 13.5secs 	Tue Jan 12 2021 16:05:33 GMT-0600 (Central Standard Time)
correct 	spelling 	4.6secs 	mince 	m____ 	== 	_ince 	RunAve=runAve: 4/5 80% 11.7secs 	Tue Jan 12 2021 16:05:49 GMT-0600 (Central Standard Time)
correct 	spelling 	8.2secs 	wince 	wi___ 	== 	__nce 	RunAve=runAve: 5/6 83% 11.1secs 	Tue Jan 12 2021 16:06:13 GMT-0600 (Central Standard Time)
correct 	spelling 	4.6secs 	prance 	pra___ 	== 	___nce 	RunAve=runAve: 6/7 85% 10.2secs 	Tue Jan 12 2021 16:06:30 GMT-0600 (Central Standard Time)
correct 	spelling 	4.8secs 	chance 	c_____ 	== 	_hance 	RunAve=runAve: 7/8 87% 9.5secs 	Tue Jan 12 2021 16:06:50 GMT-0600 (Central Standard Time)
correct 	math 	4.4secs 	1 + 11 	What is 1 + 11? 	== 	12 	RunAve=runAve: 8/9 88% 8.9secs 	Tue Jan 12 2021 16:07:09 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	coach 	c____ 	== 	_oach 	RunAve=runAve: 9/10 90% 8.2secs 	Tue Jan 12 2021 16:07:27 GMT-0600 (Central Standard Time)
correct 	math 	11.0secs 	8 * 3 	What is 8 * 3? 	== 	24 	RunAve=runAve: 10/11 90% 8.5secs 	Tue Jan 12 2021 16:07:56 GMT-0600 (Central Standard Time)
wrong 	spelling 	17.7secs 	sleet 	sl___ 	!= 	__let 	RunAve=runAve: 10/12 83% 9.2secs 	Tue Jan 12 2021 16:08:23 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	bleed 	b____ 	== 	_leed 	RunAve=runAve: 11/13 84% 8.7secs 	Tue Jan 12 2021 16:08:28 GMT-0600 (Central Standard Time)
wrong 	spelling 	7.3secs 	fleet 	fl___ 	!= 	__let 	RunAve=runAve: 11/14 78% 8.6secs 	Tue Jan 12 2021 16:08:52 GMT-0600 (Central Standard Time)
wrong 	spelling 	7.1secs 	sleet 	sl___ 	!= 	__let 	RunAve=runAve: 11/15 73% 8.5secs 	Tue Jan 12 2021 16:09:12 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	sleep 	s____ 	== 	_leep 	RunAve=runAve: 12/16 75% 8.1secs 	Tue Jan 12 2021 16:09:27 GMT-0600 (Central Standard Time)
wrong 	spelling 	7.0secs 	bleed 	bl___ 	!= 	__led 	RunAve=runAve: 12/17 70% 8.1secs 	Tue Jan 12 2021 16:09:52 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	fleet 	f____ 	== 	_leet 	RunAve=runAve: 13/18 72% 7.7secs 	Tue Jan 12 2021 16:10:07 GMT-0600 (Central Standard Time)
correct 	spelling 	6.9secs 	sleet 	s____ 	== 	_leet 	RunAve=runAve: 14/19 73% 7.7secs 	Tue Jan 12 2021 16:10:32 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	sleep 	s____ 	== 	_leep 	RunAve=runAve: 15/20 75% 7.4secs 	Tue Jan 12 2021 16:10:48 GMT-0600 (Central Standard Time)
correct 	spelling 	4.0secs 	bleed 	b____ 	== 	_leed 	RunAve=runAve: 16/21 76% 7.3secs 	Tue Jan 12 2021 16:11:09 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	fleet 	f____ 	== 	_leet 	RunAve=runAve: 17/22 77% 7.0secs 	Tue Jan 12 2021 16:11:28 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	sleet 	s____ 	== 	_leet 	RunAve=runAve: 18/23 78% 6.8secs 	Tue Jan 12 2021 16:11:47 GMT-0600 (Central Standard Time)
correct 	spelling 	3.4secs 	sleep 	sl___ 	== 	__eep 	RunAve=runAve: 19/24 79% 6.7secs 	Tue Jan 12 2021 16:12:09 GMT-0600 (Central Standard Time)
correct 	math 	2.7secs 	12 * 0 	What is 12 * 0? 	== 	0 	RunAve=runAve: 20/25 80% 6.5secs 	Tue Jan 12 2021 16:12:48 GMT-0600 (Central Standard Time)
correct 	math 	4.3secs 	9 + 1 	What is 9 + 1? 	== 	10 	RunAve=runAve: 20/25 80% 6.6secs 	Tue Jan 12 2021 16:13:10 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	0 * 1 	What is 0 * 1? 	== 	0 	RunAve=runAve: 20/25 80% 6.0secs 	Tue Jan 12 2021 16:13:27 GMT-0600 (Central Standard Time)
correct 	spelling 	10.8secs 	width 	w____ 	== 	_idth 	RunAve=runAve: 20/25 80% 6.2secs 	Tue Jan 12 2021 16:13:56 GMT-0600 (Central Standard Time)
correct 	math 	4.6secs 	2 * 3 	What is 2 * 3? 	== 	6 	RunAve=runAve: 21/25 84% 5.2secs 	Tue Jan 12 2021 16:14:10 GMT-0600 (Central Standard Time)
correct 	math 	9.4secs 	12 * 9 	What is 12 * 9? 	== 	108 	RunAve=runAve: 21/25 84% 5.4secs 	Tue Jan 12 2021 16:14:35 GMT-0600 (Central Standard Time)
correct 	spelling 	5.6secs 	detest 	d_____ 	== 	_etest 	RunAve=runAve: 21/25 84% 5.3secs 	Tue Jan 12 2021 16:14:51 GMT-0600 (Central Standard Time)
correct 	math 	6.9secs 	12 + 1 	What is 12 + 1? 	== 	13 	RunAve=runAve: 21/25 84% 5.4secs 	Tue Jan 12 2021 16:15:12 GMT-0600 (Central Standard Time)
correct 	math 	5.3secs 	45 / 9 	What is 45 / 9? 	== 	5 	RunAve=runAve: 21/25 84% 5.4secs 	Tue Jan 12 2021 16:15:31 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	pad 	p__ 	== 	_ad 	RunAve=runAve: 21/25 84% 5.4secs 	Tue Jan 12 2021 16:16:08 GMT-0600 (Central Standard Time)
correct 	math 	3.0secs 	4 * 5 	What is 4 * 5? 	== 	20 	RunAve=runAve: 21/25 84% 5.4secs 	Tue Jan 12 2021 16:16:28 GMT-0600 (Central Standard Time)
correct 	math 	21.7secs 	5 + 3 	What is 5 + 3? 	== 	8 	RunAve=runAve: 21/25 84% 5.8secs 	Tue Jan 12 2021 16:17:07 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	3 * 0 	What is 3 * 0? 	== 	0 	RunAve=runAve: 22/25 88% 5.2secs 	Tue Jan 12 2021 16:17:28 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	staid 	s____ 	== 	_taid 	RunAve=runAve: 22/25 88% 5.3secs 	Tue Jan 12 2021 16:17:49 GMT-0600 (Central Standard Time)
correct 	spelling 	7.5secs 	snake 	s____ 	== 	_nake 	RunAve=runAve: 23/25 92% 5.3secs 	Tue Jan 12 2021 16:18:13 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	10 * -10 	What is 10 * -10? 	== 	-100 	RunAve=runAve: 24/25 96% 5.1secs 	Tue Jan 12 2021 16:18:29 GMT-0600 (Central Standard Time)
correct 	math 	5.5secs 	21 / 7 	What is 21 / 7? 	== 	3 	RunAve=runAve: 24/25 96% 5.2secs 	Tue Jan 12 2021 16:18:51 GMT-0600 (Central Standard Time)
wrong 	spelling 	16.3secs 	rent 	r___ 	!= 	_int 	RunAve=runAve: 24/25 96% 5.6secs 	Tue Jan 12 2021 16:19:22 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	tent 	t___ 	== 	_ent 	RunAve=runAve: 24/25 96% 5.6secs 	Tue Jan 12 2021 16:19:28 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	bent 	b___ 	== 	_ent 	RunAve=runAve: 24/25 96% 5.5secs 	Tue Jan 12 2021 16:19:48 GMT-0600 (Central Standard Time)
correct 	spelling 	5.6secs 	rent 	r___ 	== 	_ent 	RunAve=runAve: 24/25 96% 5.6secs 	Tue Jan 12 2021 16:20:11 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	sent 	s___ 	== 	_ent 	RunAve=runAve: 24/25 96% 5.5secs 	Tue Jan 12 2021 16:20:27 GMT-0600 (Central Standard Time)
correct 	math 	5.4secs 	-7 + -7 	What is -7 + -7? 	== 	-14 	RunAve=runAve: 24/25 96% 5.6secs 	Tue Jan 12 2021 16:20:51 GMT-0600 (Central Standard Time)
correct 	spelling 	7.9secs 	cull 	c___ 	== 	_ull 	RunAve=runAve: 24/25 96% 5.9secs 	Tue Jan 12 2021 16:21:13 GMT-0600 (Central Standard Time)
correct 	math 	6.5secs 	11 * -7 	What is 11 * -7? 	== 	-77 	RunAve=runAve: 24/25 96% 6.0secs 	Tue Jan 12 2021 16:21:32 GMT-0600 (Central Standard Time)
correct 	math 	18.2secs 	8 - 12 	What is 8 - 12? 	== 	-4 	RunAve=runAve: 24/25 96% 6.6secs 	Tue Jan 12 2021 16:22:04 GMT-0600 (Central Standard Time)
correct 	math 	27.7secs 	5 - -6 	What is 5 - -6? 	== 	11 	RunAve=runAve: 24/25 96% 7.6secs 	Tue Jan 12 2021 16:22:33 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	5 + 10 	What is 5 + 10? 	== 	15 	RunAve=runAve: 24/25 96% 7.6secs 	Tue Jan 12 2021 16:22:49 GMT-0600 (Central Standard Time)
correct 	spelling 	3.9secs 	waft 	w___ 	== 	_aft 	RunAve=runAve: 24/25 96% 7.4secs 	Tue Jan 12 2021 16:23:10 GMT-0600 (Central Standard Time)
wrong 	spelling 	5.3secs 	distant 	d______ 	!= 	_istent 	RunAve=runAve: 23/25 92% 7.4secs 	Tue Jan 12 2021 16:23:31 GMT-0600 (Central Standard Time)
wrong 	spelling 	6.4secs 	infant 	i_____ 	!= 	_nfont 	RunAve=runAve: 22/25 88% 7.3secs 	Tue Jan 12 2021 16:23:52 GMT-0600 (Central Standard Time)
wrong 	spelling 	16.5secs 	distant 	d______ 	!= 	_istint 	RunAve=runAve: 21/25 84% 7.7secs 	Tue Jan 12 2021 16:24:22 GMT-0600 (Central Standard Time)
wrong 	spelling 	6.3secs 	infant 	i_____ 	!= 	_nfint 	RunAve=runAve: 20/25 80% 7.7secs 	Tue Jan 12 2021 16:24:32 GMT-0600 (Central Standard Time)
wrong 	spelling 	3.8secs 	distant 	d______ 	!= 	_distat 	RunAve=runAve: 19/25 76% 7.6secs 	Tue Jan 12 2021 16:24:50 GMT-0600 (Central Standard Time)
correct 	spelling 	12.7secs 	infant 	i_____ 	== 	_nfant 	RunAve=runAve: 19/25 76% 8.0secs 	Tue Jan 12 2021 16:25:18 GMT-0600 (Central Standard Time)
