correct 	spelling:chat-only:5 	7.1secs 	cocoanuts:2 	co_______ 	== 	__coanuts 	RunAve=runAve spelling:chat-only:5: 1/1 100% 7.1secs 	Wed Feb 03 2021 21:46:09 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.9secs 	submission:7 	submiss___ 	== 	_______ion 	RunAve=runAve spelling:chat-only:5: 2/2 100% 5.5secs 	Wed Feb 03 2021 21:49:26 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.6secs 	allotted:1 	a_______ 	== 	_llotted 	RunAve=runAve spelling:chat-only:5: 3/3 100% 5.9secs 	Wed Feb 03 2021 21:49:54 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.0secs 	agony:1 	a____ 	== 	_gony 	RunAve=runAve spelling:chat-only:5: 4/4 100% 5.4secs 	Wed Feb 03 2021 21:53:06 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	9.8secs 	courtship:1 	c________ 	== 	_ourtship 	RunAve=runAve spelling:chat-only:5: 5/5 100% 6.3secs 	Wed Feb 03 2021 21:56:32 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	7.6secs 	maneuver:5 	maneu___ 	== 	_____ver 	RunAve=runAve spelling:chat-only:5: 6/6 100% 6.5secs 	Wed Feb 03 2021 21:57:01 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	9.6secs 	conceit:1 	c______ 	== 	_onceit 	RunAve=runAve spelling:chat-only:5: 7/7 100% 6.9secs 	Wed Feb 03 2021 21:57:31 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	5.2secs 	read:1 	r___ 	== 	_ead 	RunAve=runAve spelling:chat-only:5: 8/8 100% 6.7secs 	Wed Feb 03 2021 21:57:58 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	7.1secs 	shepherd:1 	s_______ 	== 	_hepherd 	RunAve=runAve spelling:chat-only:5: 9/9 100% 6.7secs 	Wed Feb 03 2021 21:59:09 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.6secs 	highland:1 	h_______ 	== 	_ighland 	RunAve=runAve spelling:chat-only:5: 10/10 100% 6.5secs 	Wed Feb 03 2021 21:59:35 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.2secs 	appreciate:1 	a_________ 	== 	_ppreciate 	RunAve=runAve spelling:chat-only:5: 11/11 100% 6.5secs 	Wed Feb 03 2021 22:00:02 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.8secs 	squirrel:1 	s_______ 	== 	_quirrel 	RunAve=runAve spelling:chat-only:5: 12/12 100% 6.3secs 	Wed Feb 03 2021 22:00:27 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	8.4secs 	imbue:1 	i____ 	!= 	_mbrue 	RunAve=runAve spelling:chat-only:5: 12/13 92% 6.4secs 	Wed Feb 03 2021 22:00:57 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.6secs 	imbue:1 	i____ 	== 	_mbue 	RunAve=runAve spelling:chat-only:5: 13/14 92% 6.2secs 	Wed Feb 03 2021 22:01:07 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.3secs 	imbue:4decreasing 	imbu_ 	== 	____e 	RunAve=runAve spelling:chat-only:5: 14/15 93% 6.0secs 	Wed Feb 03 2021 22:01:31 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.5secs 	imbue:3decreasing 	imb__ 	== 	___ue 	RunAve=runAve spelling:chat-only:5: 15/16 93% 5.8secs 	Wed Feb 03 2021 22:01:45 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.3secs 	imbue:2decreasing 	im___ 	== 	__bue 	RunAve=runAve spelling:chat-only:5: 16/17 94% 5.7secs 	Wed Feb 03 2021 22:01:59 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.5secs 	imbue:1decreasing 	i____ 	== 	_mbue 	RunAve=runAve spelling:chat-only:5: 17/18 94% 5.5secs 	Wed Feb 03 2021 22:02:13 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.8secs 	imbue:0next-letter 	_____ 	== 	i 	RunAve=runAve spelling:next-letter:5: 1/1 100% 5.8secs 	Wed Feb 03 2021 22:02:30 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	3.1secs 	imbue:1next-letter 	i____ 	== 	m 	RunAve=runAve spelling:next-letter:5: 2/2 100% 4.4secs 	Wed Feb 03 2021 22:02:44 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	9.1secs 	imbue:2next-letter 	im___ 	== 	b 	RunAve=runAve spelling:next-letter:5: 3/3 100% 6.0secs 	Wed Feb 03 2021 22:03:04 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	7.0secs 	imbue:3next-letter 	imb__ 	== 	u 	RunAve=runAve spelling:next-letter:5: 4/4 100% 6.2secs 	Wed Feb 03 2021 22:03:22 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.5secs 	imbue:4next-letter 	imbu_ 	== 	e 	RunAve=runAve spelling:next-letter:5: 5/5 100% 5.5secs 	Wed Feb 03 2021 22:03:36 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.5secs 	shrewd:1 	s_____ 	== 	_hrewd 	RunAve=runAve spelling:chat-only:5: 18/19 94% 5.4secs 	Wed Feb 03 2021 22:03:50 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.6secs 	imbue:1 	i____ 	== 	_mbue 	RunAve=runAve spelling:chat-only:5: 19/20 95% 5.3secs 	Wed Feb 03 2021 22:04:05 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.9secs 	maneuver:5 	maneu___ 	== 	_____ver 	RunAve=runAve spelling:chat-only:5: 20/21 95% 5.2secs 	Wed Feb 03 2021 22:04:20 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	6.2secs 	erroneous:1 	e________ 	!= 	_rroeous 	RunAve=runAve spelling:chat-only:5: 20/22 90% 5.3secs 	Wed Feb 03 2021 22:04:47 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.8secs 	erroneous:1 	e________ 	== 	_rroneous 	RunAve=runAve spelling:chat-only:5: 21/23 91% 5.3secs 	Wed Feb 03 2021 22:05:00 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.3secs 	erroneous:8decreasing 	erroneou_ 	== 	________s 	RunAve=runAve spelling:chat-only:5: 22/24 91% 5.3secs 	Wed Feb 03 2021 22:05:25 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	7.7secs 	erroneous:7decreasing 	erroneo__ 	== 	_______us 	RunAve=runAve spelling:chat-only:5: 23/25 92% 5.4secs 	Wed Feb 03 2021 22:05:43 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	3.1secs 	erroneous:6decreasing 	errone___ 	!= 	______uos 	RunAve=runAve spelling:chat-only:5: 22/25 88% 5.2secs 	Wed Feb 03 2021 22:05:58 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.5secs 	erroneous:6decreasing 	errone___ 	== 	______ous 	RunAve=runAve spelling:chat-only:5: 22/25 88% 5.3secs 	Wed Feb 03 2021 22:06:10 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	13.4secs 	erroneous:5decreasing 	erron____ 	== 	_____eous 	RunAve=runAve spelling:chat-only:5: 22/25 88% 5.6secs 	Wed Feb 03 2021 22:06:35 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	2.0secs 	erroneous:4decreasing 	erro_____ 	!= 	____neos 	RunAve=runAve spelling:chat-only:5: 21/25 84% 5.5secs 	Wed Feb 03 2021 22:06:48 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.6secs 	erroneous:4decreasing 	erro_____ 	== 	____neous 	RunAve=runAve spelling:chat-only:5: 21/25 84% 5.3secs 	Wed Feb 03 2021 22:06:59 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.7secs 	erroneous:3decreasing 	err______ 	== 	___oneous 	RunAve=runAve spelling:chat-only:5: 21/25 84% 5.1secs 	Wed Feb 03 2021 22:07:12 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.2secs 	erroneous:2decreasing 	er_______ 	== 	__roneous 	RunAve=runAve spelling:chat-only:5: 21/25 84% 4.8secs 	Wed Feb 03 2021 22:07:26 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	2.9secs 	erroneous:1decreasing 	e________ 	!= 	_rroeous 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.7secs 	Wed Feb 03 2021 22:07:40 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	5.3secs 	erroneous:1decreasing 	e________ 	== 	_rroneous 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.6secs 	Wed Feb 03 2021 22:07:51 GMT-0600 (Central Standard Time)
wrong 	spelling:next-letter:5 	1.7secs 	erroneous:0next-letter 	_________ 	!= 	i 	RunAve=runAve spelling:next-letter:5: 5/6 83% 4.9secs 	Wed Feb 03 2021 22:08:04 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	1.8secs 	erroneous:0next-letter 	_________ 	== 	e 	RunAve=runAve spelling:next-letter:5: 6/7 85% 4.4secs 	Wed Feb 03 2021 22:08:12 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	3.4secs 	erroneous:1next-letter 	e________ 	== 	r 	RunAve=runAve spelling:next-letter:5: 7/8 87% 4.3secs 	Wed Feb 03 2021 22:08:26 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.9secs 	erroneous:2next-letter 	er_______ 	== 	r 	RunAve=runAve spelling:next-letter:5: 8/9 88% 4.1secs 	Wed Feb 03 2021 22:08:40 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.7secs 	erroneous:3next-letter 	err______ 	== 	o 	RunAve=runAve spelling:next-letter:5: 9/10 90% 4.3secs 	Wed Feb 03 2021 22:08:57 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.2secs 	erroneous:4next-letter 	erro_____ 	== 	n 	RunAve=runAve spelling:next-letter:5: 10/11 90% 4.1secs 	Wed Feb 03 2021 22:09:10 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.2secs 	erroneous:5next-letter 	erron____ 	== 	e 	RunAve=runAve spelling:next-letter:5: 11/12 91% 4.2secs 	Wed Feb 03 2021 22:09:27 GMT-0600 (Central Standard Time)
wrong 	spelling:next-letter:5 	4.3secs 	erroneous:6next-letter 	errone___ 	!= 	u 	RunAve=runAve spelling:next-letter:5: 11/13 84% 4.2secs 	Wed Feb 03 2021 22:09:42 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.2secs 	erroneous:6next-letter 	errone___ 	== 	o 	RunAve=runAve spelling:next-letter:5: 12/14 85% 4.3secs 	Wed Feb 03 2021 22:09:54 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.0secs 	erroneous:7next-letter 	erroneo__ 	== 	u 	RunAve=runAve spelling:next-letter:5: 13/15 86% 4.3secs 	Wed Feb 03 2021 22:10:10 GMT-0600 (Central Standard Time)
wrong 	spelling:next-letter:5 	3.5secs 	erroneous:8next-letter 	erroneou_ 	!= 	i 	RunAve=runAve spelling:next-letter:5: 13/16 81% 4.3secs 	Wed Feb 03 2021 22:10:24 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	4.6secs 	erroneous:8next-letter 	erroneou_ 	== 	s 	RunAve=runAve spelling:next-letter:5: 14/17 82% 4.3secs 	Wed Feb 03 2021 22:10:35 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.5secs 	erroneous:1 	e________ 	== 	_rroneous 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.5secs 	Wed Feb 03 2021 22:10:49 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	1.3secs 	erroneous:8decreasing 	erroneou_ 	== 	________s 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.3secs 	Wed Feb 03 2021 22:11:01 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.1secs 	erroneous:7decreasing 	erroneo__ 	== 	_______us 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.3secs 	Wed Feb 03 2021 22:11:14 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.4secs 	erroneous:6decreasing 	errone___ 	== 	______ous 	RunAve=runAve spelling:chat-only:5: 21/25 84% 4.0secs 	Wed Feb 03 2021 22:11:28 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	7.2secs 	erroneous:5decreasing 	erron____ 	!= 	_____euos 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.2secs 	Wed Feb 03 2021 22:11:46 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.6secs 	erroneous:5decreasing 	erron____ 	== 	_____eous 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.2secs 	Wed Feb 03 2021 22:11:56 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	13.2secs 	erroneous:4decreasing 	erro_____ 	== 	____neous 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.6secs 	Wed Feb 03 2021 22:12:20 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.2secs 	erroneous:3decreasing 	err______ 	== 	___oneous 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.6secs 	Wed Feb 03 2021 22:13:26 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	8.0secs 	erroneous:2decreasing 	er_______ 	== 	__roneous 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.8secs 	Wed Feb 03 2021 22:13:45 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	4.7secs 	erroneous:1decreasing 	e________ 	!= 	_rroneuos 	RunAve=runAve spelling:chat-only:5: 19/25 76% 4.8secs 	Wed Feb 03 2021 22:14:01 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.8secs 	erroneous:1decreasing 	e________ 	== 	_rroneous 	RunAve=runAve spelling:chat-only:5: 19/25 76% 4.9secs 	Wed Feb 03 2021 22:14:11 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	4.2secs 	erroneous:0next-letter 	_________ 	== 	e 	RunAve=runAve spelling:next-letter:5: 15/18 83% 4.3secs 	Wed Feb 03 2021 22:14:26 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.7secs 	erroneous:1next-letter 	e________ 	== 	r 	RunAve=runAve spelling:next-letter:5: 16/19 84% 4.2secs 	Wed Feb 03 2021 22:14:40 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.8secs 	erroneous:2next-letter 	er_______ 	== 	r 	RunAve=runAve spelling:next-letter:5: 17/20 85% 4.3secs 	Wed Feb 03 2021 22:14:57 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	4.3secs 	erroneous:3next-letter 	err______ 	== 	o 	RunAve=runAve spelling:next-letter:5: 18/21 85% 4.3secs 	Wed Feb 03 2021 22:15:12 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	3.1secs 	erroneous:4next-letter 	erro_____ 	== 	n 	RunAve=runAve spelling:next-letter:5: 19/22 86% 4.2secs 	Wed Feb 03 2021 22:15:26 GMT-0600 (Central Standard Time)
wrong 	spelling:next-letter:5 	4.2secs 	erroneous:5next-letter 	erron____ 	!= 	i 	RunAve=runAve spelling:next-letter:5: 19/23 82% 4.2secs 	Wed Feb 03 2021 22:15:42 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	3.3secs 	erroneous:5next-letter 	erron____ 	== 	e 	RunAve=runAve spelling:next-letter:5: 20/24 83% 4.2secs 	Wed Feb 03 2021 22:15:51 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.8secs 	erroneous:6next-letter 	errone___ 	== 	o 	RunAve=runAve spelling:next-letter:5: 21/25 84% 4.3secs 	Wed Feb 03 2021 22:16:08 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	6.0secs 	erroneous:7next-letter 	erroneo__ 	== 	u 	RunAve=runAve spelling:next-letter:5: 21/25 84% 4.3secs 	Wed Feb 03 2021 22:16:25 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.7secs 	erroneous:8next-letter 	erroneou_ 	== 	s 	RunAve=runAve spelling:next-letter:5: 21/25 84% 4.4secs 	Wed Feb 03 2021 22:16:42 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	1.9secs 	erroneous:8decreasing 	erroneou_ 	== 	________s 	RunAve=runAve spelling:chat-only:5: 19/25 76% 4.8secs 	Wed Feb 03 2021 22:16:55 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.3secs 	erroneous:7decreasing 	erroneo__ 	== 	_______us 	RunAve=runAve spelling:chat-only:5: 20/25 80% 4.7secs 	Wed Feb 03 2021 22:17:09 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	4.0secs 	erroneous:6decreasing 	errone___ 	!= 	______uos 	RunAve=runAve spelling:chat-only:5: 19/25 76% 4.6secs 	Wed Feb 03 2021 22:17:25 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	3.0secs 	erroneous:6decreasing 	errone___ 	!= 	______uos 	RunAve=runAve spelling:chat-only:5: 18/25 72% 4.5secs 	Wed Feb 03 2021 22:17:34 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.8secs 	erroneous:6decreasing 	errone___ 	== 	______ous 	RunAve=runAve spelling:chat-only:5: 18/25 72% 4.4secs 	Wed Feb 03 2021 22:17:45 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.9secs 	erroneous:5decreasing 	erron____ 	== 	_____eous 	RunAve=runAve spelling:chat-only:5: 19/25 76% 4.5secs 	Wed Feb 03 2021 22:18:01 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	8.1secs 	erroneous:4decreasing 	erro_____ 	!= 	____neuos 	RunAve=runAve spelling:chat-only:5: 18/25 72% 4.6secs 	Wed Feb 03 2021 22:18:20 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.0secs 	erroneous:4decreasing 	erro_____ 	== 	____neous 	RunAve=runAve spelling:chat-only:5: 18/25 72% 4.2secs 	Wed Feb 03 2021 22:18:30 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.5secs 	erroneous:3decreasing 	err______ 	== 	___oneous 	RunAve=runAve spelling:chat-only:5: 19/25 76% 4.4secs 	Wed Feb 03 2021 22:19:29 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	5.9secs 	erroneous:2decreasing 	er_______ 	== 	__roneous 	RunAve=runAve spelling:chat-only:5: 19/25 76% 4.4secs 	Wed Feb 03 2021 22:19:46 GMT-0600 (Central Standard Time)
